City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sinnamary,GF,5.3833,-52.95,76.55,88,49,6.33,scattered clouds
80,Khani,GE,41.9563,42.9566,54.97,51,100,2.55,overcast clouds
81,Camabatela,AO,-8.1881,15.375,75.04,63,47,2.46,scattered clouds
82,Hobart,AU,-42.8794,147.3294,61.27,83,100,20.71,moderate rain
83,Beysehir,TR,37.6773,31.7246,65.5,34,0,0.49,clear sky
84,Kodiak,US,57.79,-152.4072,42.31,42,0,4.61,clear sky
85,Chokurdakh,RU,70.6333,147.9167,8.6,96,91,5.35,overcast clouds
86,Isangel,VU,-19.55,169.2667,73.13,78,87,12.48,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,78.19,76,100,4.7,overcast clouds
88,San Juan Del Sur,NI,11.2529,-85.8705,77.31,87,100,9.22,overcast clouds
89,Jabinyanah,TN,35.035,10.9081,77.79,73,97,7.31,overcast clouds
90,Udachnyy,RU,66.4167,112.4,30.45,100,100,9.26,overcast clouds
91,Ilulissat,GL,69.2167,-51.1,26.62,93,100,5.75,light snow
92,Heyang,CN,26.1011,107.473,71.46,32,10,6.33,clear sky
93,Galbshtadt,RU,53.2264,78.9845,53.37,31,13,8.32,few clouds
94,Cap Malheureux,MU,-19.9842,57.6142,78.48,52,0,13.0,clear sky
95,Qasigiannguit,GL,68.8193,-51.1922,26.85,91,100,6.55,overcast clouds
96,Nishihara,JP,26.1842,127.7558,83.48,70,40,24.16,scattered clouds
97,Mizan Teferi,ET,6.9833,35.5833,77.2,54,21,1.61,light rain
98,Mabaruma,GY,8.2,-59.7833,72.25,99,80,1.92,broken clouds
99,Vao,NC,-22.6667,167.4833,71.04,72,10,19.62,clear sky
100,Cape Town,ZA,-33.9258,18.4232,65.88,88,100,7.0,overcast clouds
101,Atuona,PF,-9.8,-139.0333,76.96,83,25,20.24,light rain
102,Puerto Ayora,EC,-0.7393,-90.3518,66.54,93,7,5.99,clear sky
103,Castro,BR,-24.7911,-50.0119,59.74,96,100,1.74,overcast clouds
104,Surt,LY,31.2089,16.5887,83.16,34,29,9.75,scattered clouds
105,Sangmelima,CM,2.9333,11.9833,73.09,88,98,2.01,overcast clouds
106,Odienne,CI,9.51,-7.5692,73.33,87,45,2.08,scattered clouds
107,Tasiilaq,GL,65.6145,-37.6368,30.36,87,100,4.43,overcast clouds
108,Kisangani,CD,0.5167,25.2,84.99,58,100,2.98,overcast clouds
109,Arraial Do Cabo,BR,-22.9661,-42.0278,71.01,91,97,12.55,overcast clouds
110,Sao Filipe,CV,14.8961,-24.4956,78.6,81,15,8.99,few clouds
111,Jamestown,US,42.097,-79.2353,59.02,76,100,12.66,moderate rain
112,Nisia Floresta,BR,-6.0911,-35.2086,74.21,93,72,7.25,broken clouds
113,Qaqortoq,GL,60.7167,-46.0333,18.79,66,0,9.37,clear sky
114,Mareeba,AU,-17.0,145.4333,79.45,70,31,7.85,scattered clouds
115,Yar-Sale,RU,66.8333,70.8333,40.51,78,100,12.68,overcast clouds
116,Carnarvon,AU,-24.8667,113.6333,74.82,35,0,20.18,clear sky
117,Cidreira,BR,-30.1811,-50.2056,60.19,95,7,6.04,clear sky
118,Sistranda,NO,63.7256,8.834,48.16,70,100,17.4,light rain
119,Banjar,ID,-8.19,114.9675,82.2,78,75,2.59,broken clouds
120,Tabuk,PH,17.4189,121.4443,78.37,91,100,4.97,overcast clouds
